COHORTE,AGE_PRET_BIN,AGE_MOIS,ER_obs,ER_moyen_age,ER_moyen_coh,EAD_sum
1994,120+,295.0,0.2374,0.1797,0.2374,1119.9
1995,120+,286.0,0.0949,0.1797,0.0782,3258.87
1995,120+,291.0,0.1235,0.1797,0.0782,1437.32
1995,120+,293.0,0.0,0.1797,0.0782,1531.97
1996,120+,271.0,0.3402,0.1797,0.423,1469.8
1996,120+,272.0,0.1203,0.1797,0.423,1371.63
1996,120+,280.0,0.9534,0.1797,0.423,1387.7
1996,120+,280.0,0.2666,0.1797,0.423,1272.4
1997,120+,261.0,0.0444,0.1797,0.0838,2853.36
1997,120+,262.0,0.0811,0.1797,0.0838,5327.38
1997,120+,266.0,0.038,0.1797,0.0838,2282.69
1997,120+,268.0,0.1711,0.1797,0.0838,2203.88
1997,120+,271.0,0.0458,0.1797,0.0838,1894.92
1997,120+,272.0,0.1321,0.1797,0.0838,1513.63
1997,120+,274.0,0.2136,0.1797,0.0838,1462.88
1997,120+,274.0,0.0523,0.1797,0.0838,1658.31
1997,120+,278.0,0.0649,0.1797,0.0838,1338.06
1997,120+,280.0,0.078,0.1797,0.0838,1112.98
1997,120+,281.0,0.0793,0.1797,0.0838,1094.03
1997,120+,282.0,0.2473,0.1797,0.0838,1224.47
1997,120+,288.0,0.0,0.1797,0.0838,3756.15
1997,120+,289.0,0.118,0.1797,0.0838,1504.09
1998,120+,251.0,0.0504,0.1797,0.0589,2764.22
1998,120+,254.0,0.0542,0.1797,0.0589,5533.43
1998,120+,258.0,0.059,0.1797,0.0589,2847.59
1998,120+,262.0,0.0722,0.1797,0.0589,2216.26
1998,120+,266.0,0.0641,0.1797,0.0589,2983.7
1998,120+,273.0,0.0616,0.1797,0.0589,1615.22
1999,120+,257.0,0.0667,0.1797,0.0897,5745.9
1999,120+,281.0,0.138,0.1797,0.0897,2742.89
2000,120+,250.0,0.2957,0.1797,0.2443,3381.89
2000,120+,285.0,0.0756,0.1797,0.2443,1029.1
2006,120+,166.0,0.4514,0.1797,0.4996,2946.19
2006,120+,168.0,0.5121,0.1797,0.4996,11324.97
2007,120+,148.0,0.0703,0.1797,0.1217,7111.4
2007,120+,148.0,0.0,0.1797,0.1217,5241.82
2007,120+,154.0,0.2054,0.1797,0.1217,4867.74
2007,120+,154.0,0.3305,0.1797,0.1217,3025.71
