ID;AGE_CLI;B_MAT;B_RESMAT;CLASSACT;CSP;DARRET;E_OFF;MREVTOT;MTECH;NBIMP;NB_ECH;produit;RA;Tx;EAD;AGE_PRET;HORIZON_RES;CSP_grp;CRD;ER_obs;FLAG_ER;Capital_initial;Date_origination;Cohorte
a000053;77.0;61.0;14.0;1;70.0;2019-01-01;0.0;2354.0;144.99;0;60;AMO;1631.48;2.298926650135524;0.0;47.0;14;SALARIE;2029.8600000000001;0.8037401594198614;1;8844.390000000001;2015-02-21;2015Q1
a000054;69.0;48.0;5.0;1;70.0;2019-01-01;0.0;1262.0;150.81;0;48;AMO;990.0;2.1323558082981324;0.0;43.0;5;SALARIE;754.05;1.0;1;7238.88;2015-06-21;2015Q2
a000055;73.0;48.0;8.0;1;70.0;2019-01-01;0.0;3651.0;247.04;0;48;AMO;1802.36;2.0834253672477683;0.0;40.0;8;SALARIE;1976.32;0.9119778173575129;1;11857.92;2015-09-19;2015Q3
a000056;70.0;48.0;8.0;1;70.0;2019-01-01;0.0;1542.0;123.52;0;48;AMO;902.49;2.0228350889892175;0.0;40.0;8;SALARIE;988.16;0.9133035136010363;1;5928.96;2015-09-19;2015Q3
a000057;71.0;48.0;9.0;1;70.0;2019-01-01;0.0;950.0;148.22;0;48;AMO;1344.42;2.0834253672477683;0.0;39.0;9;SALARIE;1333.98;1.0;1;7114.5599999999995;2015-10-19;2015Q4
a000058;70.0;49.0;11.0;1;70.0;2019-01-01;0.0;3366.0;112.88;0;48;AMO;1333.99;2.0256924652489006;0.0;38.0;11;SALARIE;1241.6799999999998;1.0;1;5531.12;2015-11-18;2015Q4
a000059;63.0;49.0;11.0;1;45.0;2019-01-01;0.0;2717.0;179.17;0;48;AMO;2120.69;1.9778443550494123;0.0;38.0;11;SALARIE;1970.87;1.0;1;8779.33;2015-11-18;2015Q4
a000060;70.0;49.0;12.0;1;70.0;2019-01-01;0.0;1861.0;180.03;0;48;AMO;2123.0;2.0834253672477683;0.0;37.0;12;SALARIE;2160.36;0.9827065859393804;1;8821.47;2015-12-18;2015Q4
a000062;69.0;48.0;15.0;1;70.0;2019-01-01;0.0;497.0;181.41;0;48;AMO;3340.0;2.125106421437776;0.0;33.0;15;SALARIE;2721.15;1.0;1;8707.68;2016-04-16;2016Q2
a000063;79.0;48.0;2.0;1;70.0;2019-01-01;0.0;2232.0;30.73;0;34;AMO;4210.82;2.125106421437776;25.67;46.0;2;SALARIE;61.46;1.0;1;1475.04;2015-03-23;2015Q1
a000064;68.0;73.0;45.0;1;70.0;2019-01-01;0.0;1190.0;469.66;0;72;AMO;15330.12;2.366109821566452;0.0;28.0;45;SALARIE;21134.7;0.7253530923079107;1;34285.18;2016-09-13;2016Q3
a000065;78.0;48.0;22.0;1;70.0;2019-01-01;0.0;6250.0;111.66;0;48;AMO;2383.94;2.0371891877716086;0.0;26.0;22;SALARIE;2456.52;0.9704541383746113;1;5359.68;2016-11-12;2016Q4
a000066;69.0;70.0;47.0;1;70.0;2019-01-01;0.0;682.0;348.88;0;70;AMO;12849.91;2.299960397159621;0.0;23.0;47;SALARIE;16397.36;0.7836572472641937;1;24421.6;2017-02-10;2017Q1
a000067;76.0;49.0;27.0;1;70.0;2019-01-01;0.0;487.0;213.85;0;48;AMO;4706.45;1.9747987099823914;0.0;22.0;27;SALARIE;5773.95;0.8151179002242832;1;10478.65;2017-03-12;2017Q1
a000068;62.0;72.0;52.0;1;70.0;2019-01-01;0.0;1137.0;113.53;0;72;AMO;4668.0;2.300304520880929;0.0;20.0;52;SALARIE;5903.56;0.790709334706516;1;8174.16;2017-05-11;2017Q2
a000069;79.0;35.0;16.0;1;70.0;2019-01-01;0.0;1554.0;92.21;0;36;AMO;1499.85;2.3254909050882318;0.0;19.0;16;SALARIE;1475.36;1.0;1;3227.35;2017-06-10;2017Q2
a000070;63.0;48.0;29.0;1;70.0;2019-01-01;0.0;1990.0;148.22;0;48;AMO;4224.0;2.022574551124335;0.0;19.0;29;SALARIE;4298.38;0.9826958063270348;1;7114.5599999999995;2017-06-10;2017Q2
