AGE_PRET,ER_baseline
0.0,
1.0,0.034916259550257844
2.0,0.06220742094440663
3.0,0.04372530959131402
4.0,0.049778525610106705
5.0,0.055349142707185356
6.0,0.06789238465646048
7.0,0.06505214983351963
8.0,0.056360218401665385
9.0,0.05210659122119859
10.0,0.05539876009195494
11.0,0.05429219854708849
12.0,0.04525062896667173
13.0,0.03800871075073579
14.0,0.03463073273649241
15.0,0.04909942887865485
16.0,0.045217166202135714
17.0,0.052625434706561315
18.0,0.05887587837282688
19.0,0.056634250218398685
20.0,0.055732089208372027
21.0,0.05997412635229348
22.0,0.05793223412297163
23.0,0.056561909013899715
24.0,0.07761976091309693
25.0,0.07080650659198706
26.0,0.07808106449289559
27.0,0.06786475665183835
28.0,0.0550185517922592
29.0,0.06587717099592369
30.0,0.06518299484927523
31.0,0.10370716808724187
32.0,0.11099938188602433
33.0,0.15116125589151022
34.0,0.15943355036278375
35.0,0.1344356332797336
36.0,0.1467169270643095
37.0,0.13626547811347056
38.0,0.2640500473086687
39.0,0.2596928961608334
40.0,0.2600276330985286
41.0,0.28462373397287755
42.0,0.28476063643413185
43.0,0.2938481639431113
44.0,0.28913764657435026
45.0,0.2533186737301143
46.0,0.2530274846438458
47.0,0.23329433607124453
48.0,0.23067964102965788
49.0,0.23361707831493736
50.0,0.22226799150826732
51.0,0.22227093682496943
52.0,0.21195341679535126
53.0,0.21440244004982226
54.0,0.2118302977608706
55.0,0.20239857156961497
56.0,0.20021368228120487
57.0,0.19388032612485967
58.0,0.1959271033575017
59.0,0.18975602501371394
60.0,0.18784416900759668
61.0,0.0010556975110724725
62.0,-0.021996254874345533
63.0,
64.0,
65.0,
66.0,
67.0,0.0015522858347007925
68.0,0.005466219587298351
69.0,0.00466504386102376
70.0,0.006521199997313266
71.0,-0.019743747403157614
72.0,0.0007112356755022758
73.0,
74.0,
75.0,
76.0,
77.0,
78.0,
79.0,
80.0,
81.0,
82.0,
83.0,
84.0,
85.0,
86.0,
87.0,
88.0,
89.0,
90.0,
91.0,
92.0,
93.0,
94.0,0.000931911992191059
95.0,
96.0,
97.0,
98.0,
99.0,
100.0,
101.0,
102.0,
103.0,
104.0,
105.0,
106.0,
107.0,
108.0,
109.0,
110.0,
111.0,
112.0,
113.0,
114.0,
115.0,
116.0,
117.0,
119.0,
120.0,
121.0,
122.0,
123.0,
124.0,
125.0,
126.0,
127.0,
128.0,
129.0,
130.0,
131.0,
132.0,
135.0,
137.0,
139.0,
141.0,
142.0,
143.0,
145.0,
146.0,
147.0,
148.0,
154.0,
155.0,
156.0,
162.0,
166.0,
168.0,
172.0,
174.0,
181.0,
182.0,
250.0,
251.0,
254.0,
257.0,
258.0,
261.0,
262.0,
266.0,
268.0,
271.0,
272.0,
273.0,
274.0,
278.0,
279.0,
280.0,
281.0,
282.0,
285.0,
286.0,
288.0,
289.0,
290.0,
291.0,
292.0,
293.0,
295.0,
296.0,
298.0,
299.0,
