Age,Hazard_brut,Nb_RA,Nb_at_risk,SE,Hazard_lisse,Survie,ER_cumule,SMM,CPR,SMM_PSA,CPR_PSA,Survie_PSA,ER_PSA
0,1.0,39,39,0.0,0.9939636930560166,0.006036306943983383,0.9939636930560166,0.9939636930560166,1.0,0.0,0.0,1.0,0.0
1,0.9757085020242915,241,247,0.009795773091116925,0.9930525324176112,4.1937046810673226e-05,0.9999580629531893,0.9930525324176112,1.0,0.00016681963994558124,0.002,0.9998331803600544,0.00016681963994558124
2,0.9900621118012423,797,805,0.00349607172221061,0.9922329003245454,3.257292226727059e-07,0.9999996742707773,0.9922329003245454,1.0,0.0003339460107422143,0.004,0.9994992900580655,0.0005007099419345185
3,0.9887535145267105,1055,1067,0.003228272775816564,0.9915006526791281,2.7684857960529416e-09,0.9999999972315142,0.9915006526791281,1.0,0.0005013802940021517,0.006,0.9989981608101612,0.0010018391898387602
4,0.9938603223330775,1295,1303,0.002164029885516751,0.9908516453836678,2.5327089812571144e-11,0.9999999999746729,0.9908516453836678,1.0,0.0006691236782786492,0.008,0.9983297074862063,0.001670292513793692
5,0.991156462585034,1457,1470,0.002441886365304205,0.9902817343404732,2.4613538718126184e-13,0.9999999999997539,0.9902817343404732,1.0,0.0008371773591205889,0.01,0.9974939284581614,0.0025060715418385726
6,0.9927797833935018,1650,1662,0.0020767588313219685,0.9897867754518528,2.5138359785273826e-15,0.9999999999999974,0.9897867754518528,1.0,0.0010055425391276573,0.012,0.9964909058805752,0.0035090941194247938
7,0.9952127659574468,1871,1880,0.0015919204969147666,0.9893626246201147,2.6740616947057037e-17,1.0,0.9893626246201147,1.0,0.0011742204280067448,0.014,0.9953208059025673,0.004679194097432671
8,0.9904357066950054,1864,1882,0.0022435191346712098,0.9890051377475685,2.9400939987792786e-19,1.0,0.9890051377475685,1.0,0.0013432122426282334,0.016,0.9939838788107364,0.006016121189263646
9,0.9893795416433762,1770,1789,0.002423527336708091,0.988710170736522,3.3193159264794323e-21,1.0,0.988710170736522,1.0,0.0015125192070827298,0.018000000000000002,0.9924804591025045,0.007519540897495514
10,0.9901677270098322,1712,1729,0.0023729241206999273,0.9884735794892844,3.8259831176517545e-23,1.0,0.9884735794892844,1.0,0.001682142552739574,0.02,0.9908109654894857,0.009189034510514338
11,0.9913394919168591,1717,1732,0.0022264294890166152,0.988291219908164,4.479759495966134e-25,1.0,0.988291219908164,1.0,0.0018520835183041262,0.022,0.9889759008305475,0.011024099169452461
12,0.9863501483679525,1662,1685,0.0028266990303168803,0.9881589478954693,5.304506560750109e-27,1.0,0.9881589478954693,1.0,0.002022343349877165,0.024,0.9869758519943141,0.013024148005685854
13,0.9888366627497063,1683,1702,0.002546710183078962,0.9880726193535091,6.326886889187487e-29,1.0,0.9880726193535091,1.0,0.0021929233010143934,0.026000000000000002,0.9848114896509372,0.015188510349062767
14,0.9895448954489545,1609,1626,0.002522444798464182,0.9880280901845917,7.574491924964175e-31,1.0,0.9880280901845917,1.0,0.002363824632785727,0.028,0.9824835679930499,0.017516432006950078
15,0.9896305897602073,1527,1543,0.002578876951798123,0.9880212162910262,9.073320047451417e-33,1.0,0.9880212162910262,1.0,0.002535048613836688,0.03,0.9799929243858918,0.020007075614108194
16,0.9945288753799392,1636,1645,0.001818712496842695,0.9880478535751208,1.084456497669311e-34,1.0,0.9880478535751208,1.0,0.002706596520449356,0.032,0.977340478946684,0.022659521053316034
17,0.988681757656458,1485,1502,0.0027294980508725253,0.9881038579391845,1.2900848555048514e-36,1.0,0.9881038579391845,1.0,0.0028784696366042084,0.034,0.9745272340534117,0.025472765946588316
