t,S_t,ER_cumulee,ER_marginal
0,1.0,0.0,0.0
1,0.9976807293866664,0.0023192706133335905,0.0023192706133335905
2,0.9901141663697783,0.009885833630221663,0.007566563016888073
3,0.9797819046720808,0.020218095327919183,0.01033226169769752
4,0.9641845720193042,0.03581542798069581,0.01559733265277663
5,0.9501412512619795,0.04985874873802054,0.014043320757324729
6,0.9361790480208608,0.06382095197913917,0.013962203241118631
7,0.913150472606333,0.08684952739366703,0.023028575414527852
8,0.8936292953995426,0.10637070460045739,0.019521177206790363
9,0.8774299053708795,0.1225700946291205,0.016199390028663108
10,0.8693455487669661,0.13065445123303387,0.008084356603913379
11,0.8549034399947721,0.14509656000522786,0.014442108772193984
12,0.8501269657362153,0.14987303426378473,0.004776474258556873
13,0.8415246436848955,0.15847535631510445,0.008602322051319722
14,0.8274347324098172,0.17256526759018276,0.014089911275078304
15,0.8143580590454629,0.18564194095453712,0.013076673364354363
16,0.7956754038828018,0.20432459611719822,0.0186826551626611
17,0.784130874129905,0.215869125870095,0.01154452975289677
18,0.768643425769091,0.23135657423090905,0.01548744836081406
19,0.7601651405361007,0.23983485946389926,0.008478285232990213
20,0.7517419590995551,0.2482580409004449,0.008423181436545635
21,0.7383523435309076,0.2616476564690924,0.013389615568647484
22,0.7304177613234625,0.2695822386765375,0.00793458220744514
23,0.7204801858936131,0.27951981410638693,0.00993757542984941
24,0.7089228984889937,0.2910771015110063,0.011557287404619365
25,0.5953714507799616,0.40462854922003844,0.11355144770903214
26,0.5133339041585258,0.48666609584147424,0.08203754662143581
27,0.45869857217612453,0.5413014278238755,0.054635331982401225
28,0.42779881168591755,0.5722011883140825,0.030899760490206984
29,0.4068522031157071,0.5931477968842929,0.020946608570210468
30,0.39007705440241097,0.609922945597589,0.016775148713296106
31,0.38336685903663803,0.616633140963362,0.006710195365772942
32,0.37456007592612056,0.6254399240738795,0.008806783110517469
33,0.3714067423602647,0.6285932576397353,0.0031533335658558426
34,0.36115160460997575,0.6388483953900242,0.010255137750288967
35,0.3514100552262848,0.6485899447737151,0.009741549383690928
36,0.34032618019143707,0.659673819808563,0.011083875034847757
37,0.33670655074804773,0.6632934492519522,0.0036196294433893383
38,0.3305770241199234,0.6694229758800766,0.006129526628124327
39,0.47044780932749,0.52955219067251,-0.13987078520756657
40,0.3978591491804696,0.6021408508195304,0.07258866014702037
