h,S_t,ER_cumulee,ER_marginal
0,1.0,0.0,0.0
1,0.8173209753046257,0.18267902469537434,0.18267902469537434
2,0.7604083650974397,0.2395916349025603,0.056912610207185965
3,0.715608063127363,0.284391936872637,0.04480030197007667
4,0.6816320300782135,0.3183679699217865,0.033976033049149534
5,0.6544726526761114,0.34552734732388857,0.02715937740210206
6,0.630383678469322,0.369616321530678,0.02408897420678946
7,0.6115257536633694,0.38847424633663064,0.01885792480595261
8,0.5942695281812154,0.40573047181878463,0.017256225482153997
9,0.5802180638013412,0.4197819361986588,0.014051464379874146
10,0.5676622187154746,0.4323377812845254,0.012555845085866602
11,0.5561840289472213,0.4438159710527787,0.011478189768253322
12,0.5458777442144682,0.4541222557855318,0.01030628473275308
13,0.5356914782191718,0.46430852178082815,0.010186265995296373
14,0.5266885029090485,0.47331149709095155,0.009002975310123396
15,0.5180151734634351,0.48198482653656494,0.008673329445613387
16,0.5101970968094212,0.48980290319057884,0.007818076654013906
17,0.5026712115789896,0.49732878842101036,0.007525885230431517
18,0.49680309321685157,0.5031969067831484,0.005868118362138075
19,0.4917888514003762,0.5082111485996238,0.005014241816475362
20,0.48797083505965716,0.5120291649403428,0.0038180163407190437
21,0.48491840762789973,0.5150815923721003,0.003052427431757432
22,0.4820446006056663,0.5179553993943338,0.0028738070222334433
23,0.4797564373482445,0.5202435626517554,0.0022881632574217603
24,0.47804032388550677,0.5219596761144932,0.0017161134627377561
25,0.47697333938494413,0.5230266606150559,0.00106698450056264
26,0.4763298357813349,0.5236701642186651,0.0006435036036092079
27,0.4759188841237765,0.5240811158762235,0.00041095165755844487
28,0.4756536807557939,0.5243463192442062,0.0002652033679825805
29,0.47552112082410647,0.5244788791758935,0.00013255993168742597
30,0.47543700582861953,0.5245629941713805,8.411499548693913e-05
31,0.4753819067160334,0.5246180932839666,5.509911258611e-05
32,0.4753515775716214,0.5246484224283786,3.0329144412033493e-05
33,0.47533396138782297,0.5246660386121771,1.7616183798419005e-05
34,0.47532072169048484,0.5246792783095151,1.3239697338129908e-05
35,0.4753101543563982,0.5246898456436018,1.0567334086664104e-05
36,0.4753038849387827,0.5246961150612173,6.269417615500927e-06
37,0.4752990690690838,0.5247009309309162,4.8158696988598315e-06
38,0.4752980875496348,0.5247019124503651,9.815194489948276e-07
39,0.47529766886760827,0.5247023311323917,4.1868202654837816e-07
