ID,AGE_CLI,B_MAT,B_RESMAT,CLASSACT,CSP,DARRET,E_OFF,MREVTOT,MTECH,NBIMP,NB_ECH,produit,RA,Tx,EAD,AGE_PRET,HORIZON_RES,CF_CAP_OBS,ER_obs,FLAG_ER,EAD_POST,Tx_bin,B_RESMAT_bin,AGE_PRET_BIN
a000072,44.0,72.0,43.0,1,45.0,2019-01-01,0.0,2502.0,30.03,0,60,AMO,150.0,2.302020538509767,1158.68,29.0,43,150.0,0.12945765871508957,1,1008.6800000000001,"(2.256, 2.786]","(27.6, 55.2]",12-36
a000074,74.0,49.0,34.0,1,70.0,2019-01-01,0.0,1740.0,121.38,0,48,AMO,286.84,2.0371891877716086,3570.76,15.0,34,286.84,0.08033023782051998,1,3283.92,"(-1.501, 2.094]","(27.6, 55.2]",12-36
a000093,52.0,72.0,16.0,1,52.0,2019-01-01,0.0,1852.0,391.29,0,72,AMO,0.0,2.2593654994071057,0.0,56.0,16,0.0,,0,0.0,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000124,48.0,36.0,11.0,1,56.0,2019-01-01,0.0,1799.0,35.7,0,36,AMO,157.53,2.1150024440703845,204.12,25.0,11,157.53,0.7717519106407995,1,46.59,"(2.094, 2.181]","(-0.276, 27.6]",12-36
a000126,51.0,72.0,48.0,1,52.0,2019-01-01,0.0,2507.0,452.08,0,72,AMO,489.12,2.0834253672477683,18999.02,24.0,48,489.12,0.025744485768213306,1,18509.9,"(-1.501, 2.094]","(27.6, 55.2]",12-36
a000136,55.0,48.0,35.0,1,52.0,2019-01-01,0.0,1754.0,190.18,0,48,AMO,412.54,2.1806073626269216,5982.14,13.0,35,412.54,0.06896194338480878,1,5569.6,"(2.094, 2.181]","(27.6, 55.2]",12-36
a000142,70.0,25.0,15.0,1,70.0,2019-01-01,0.0,3004.0,175.11,0,24,AMO,0.0,2.1806073626269216,0.0,10.0,15,0.0,,0,0.0,"(2.094, 2.181]","(-0.276, 27.6]",0-12
a000148,61.0,24.0,11.0,1,52.0,2019-01-01,0.0,4115.0,645.0,0,19,AMO,4000.0,1.4978230307949094,6038.66,13.0,11,4000.0,0.6623986116125101,1,2038.6599999999999,"(-1.501, 2.094]","(-0.276, 27.6]",12-36
a000164,44.0,60.0,58.0,1,45.0,2019-01-01,0.0,2526.0,63.65,0,60,AMO,100.0,2.2593654994071057,3019.84,2.0,58,100.0,0.033114337183426934,1,2919.84,"(2.256, 2.786]","(55.2, 82.8]",0-12
a000174,38.0,74.0,30.0,1,55.0,2019-01-01,0.0,837.0,93.19,0,72,AMO,121.0,2.1774243847759185,2401.38,44.0,30,121.0,0.050387693742764576,1,2280.38,"(2.094, 2.181]","(27.6, 55.2]",36-60
a000184,37.0,61.0,47.0,1,56.0,2019-01-01,0.0,2368.0,51.62,0,60,AMO,500.0,2.2407571066273495,1568.4,14.0,47,500.0,0.3187962254526906,1,1068.4,"(2.181, 2.256]","(27.6, 55.2]",12-36
a000190,61.0,61.0,4.0,1,70.0,2019-01-01,0.0,920.0,77.96,0,60,AMO,167.13,2.3824105905492,201.98,57.0,4,167.13,0.8274581641746708,1,34.849999999999994,"(2.256, 2.786]","(-0.276, 27.6]",36-60
a000209,28.0,48.0,24.0,1,54.0,2019-01-01,0.0,1680.0,29.13,0,35,AMO,400.0,2.729988699185445,438.52,24.0,24,400.0,0.9121590805436468,1,38.51999999999998,"(2.256, 2.786]","(-0.276, 27.6]",12-36
a000211,29.0,61.0,50.0,1,60.0,2019-01-01,0.0,1385.0,83.56,1,60,AMO,186.0,2.3824105905492,3459.73,11.0,50,186.0,0.053761420688897686,1,3273.73,"(2.256, 2.786]","(27.6, 55.2]",0-12
a000222,43.0,11.0,8.0,1,31.0,2019-01-01,0.0,2000.0,90.02,0,10,AMO,233.06,2.1806979135833386,738.02,3.0,8,233.06,0.31579089997561044,1,504.96,"(2.094, 2.181]","(-0.276, 27.6]",0-12
a000234,78.0,72.0,9.0,1,70.0,2019-01-01,0.0,1642.0,91.53,0,72,AMO,-3894.8600000000006,2.4956349268476536,0.0,63.0,9,-3894.8600000000006,0.0,0,3894.8600000000006,"(2.256, 2.786]","(-0.276, 27.6]",60-120
a000259,65.0,146.0,115.0,1,70.0,2019-01-01,0.0,2699.0,278.77,0,144,AMO,20000.0,2.224275807083729,21072.2,31.0,115,20000.0,0.9491177950095386,1,1072.2000000000007,"(2.181, 2.256]","(110.4, 138.0]",12-36
