Age,Hazard_brut,Nb_RA,Nb_at_risk,SE,Hazard_lisse,Survie,ER_cumule,SMM,CPR
0,1.0,39,39,0.0,0.9939636930560166,0.006036306943983383,0.9939636930560166,0.9939636930560166,1.0
1,0.9757085020242915,241,247,0.009795773091116925,0.9930525324176112,4.1937046810673226e-05,0.9999580629531893,0.9930525324176112,1.0
2,0.9900621118012423,797,805,0.00349607172221061,0.9922329003245454,3.257292226727059e-07,0.9999996742707773,0.9922329003245454,1.0
3,0.9887535145267105,1055,1067,0.003228272775816564,0.9915006526791281,2.7684857960529416e-09,0.9999999972315142,0.9915006526791281,1.0
4,0.9938603223330775,1295,1303,0.002164029885516751,0.9908516453836678,2.5327089812571144e-11,0.9999999999746729,0.9908516453836678,1.0
5,0.991156462585034,1457,1470,0.002441886365304205,0.9902817343404732,2.4613538718126184e-13,0.9999999999997539,0.9902817343404732,1.0
6,0.9927797833935018,1650,1662,0.0020767588313219685,0.9897867754518528,2.5138359785273826e-15,0.9999999999999974,0.9897867754518528,1.0
7,0.9952127659574468,1871,1880,0.0015919204969147666,0.9893626246201147,2.6740616947057037e-17,1.0,0.9893626246201147,1.0
8,0.9904357066950054,1864,1882,0.0022435191346712098,0.9890051377475685,2.9400939987792786e-19,1.0,0.9890051377475685,1.0
9,0.9893795416433762,1770,1789,0.002423527336708091,0.988710170736522,3.3193159264794323e-21,1.0,0.988710170736522,1.0
10,0.9901677270098322,1712,1729,0.0023729241206999273,0.9884735794892844,3.8259831176517545e-23,1.0,0.9884735794892844,1.0
11,0.9913394919168591,1717,1732,0.0022264294890166152,0.988291219908164,4.479759495966134e-25,1.0,0.988291219908164,1.0
12,0.9863501483679525,1662,1685,0.0028266990303168803,0.9881589478954693,5.304506560750109e-27,1.0,0.9881589478954693,1.0
13,0.9888366627497063,1683,1702,0.002546710183078962,0.9880726193535091,6.326886889187487e-29,1.0,0.9880726193535091,1.0
14,0.9895448954489545,1609,1626,0.002522444798464182,0.9880280901845917,7.574491924964175e-31,1.0,0.9880280901845917,1.0
15,0.9896305897602073,1527,1543,0.002578876951798123,0.9880212162910262,9.073320047451417e-33,1.0,0.9880212162910262,1.0
16,0.9945288753799392,1636,1645,0.001818712496842695,0.9880478535751208,1.084456497669311e-34,1.0,0.9880478535751208,1.0
17,0.988681757656458,1485,1502,0.0027294980508725253,0.9881038579391845,1.2900848555048514e-36,1.0,0.9881038579391845,1.0
18,0.9936530324400564,1409,1418,0.002108931166452665,0.9881850852855253,1.524224254222525e-38,1.0,0.9881850852855253,1.0
19,0.9869952087611226,1442,1461,0.002964040317870544,0.9882873915164525,1.7852641930835596e-40,1.0,0.9882873915164525,1.0
20,0.9859550561797753,1404,1424,0.003118412537000348,0.9884066325342742,2.0697223813820185e-42,1.0,0.9884066325342742,1.0
21,0.9917106254709872,1316,1327,0.0024889599185623514,0.9885386642412991,2.3721783140317303e-44,1.0,0.9885386642412991,1.0
22,0.9862815884476535,1366,1385,0.0031255574794387966,0.988679342539836,2.6854618127582508e-46,1.0,0.988679342539836,1.0
23,0.9834212509419744,1305,1327,0.003505179087484735,0.9888245233321933,3.0011315830765763e-48,1.0,0.9888245233321933,1.0
24,0.985725614591594,1243,1261,0.0033404054763940625,0.98897006252068,3.3102293728547346e-50,1.0,0.98897006252068,1.0
25,0.9838579499596449,1219,1239,0.00358022145721287,0.989111816007604,3.6042386468675954e-52,1.0,0.989111816007604,1.0
26,0.9934102141680395,1206,1214,0.0023221518585660244,0.9892456396952745,3.8761281032630563e-54,1.0,0.9892456396952745,1.0
27,0.9942528735632183,1211,1218,0.0021659586391147337,0.9893673894859997,4.121336042436693e-56,1.0,0.9893673894859997,1.0
28,0.9897172236503856,1155,1167,0.002953080807477366,0.9894729212820884,4.3385628941697274e-58,1.0,0.9894729212820884,1.0
29,0.9899909008189263,1088,1099,0.0030027159551077056,0.9895580909858491,4.5302878993091383e-60,1.0,0.9895580909858491,1.0
30,0.9925719591457753,1069,1077,0.0026164370550145004,0.989618754499591,4.703003087026022e-62,1.0,0.989618754499591,1.0
31,0.9851924975320829,998,1013,0.003794868507305502,0.9896507677256218,4.867247133475015e-64,1.0,0.9896507677256218,1.0
32,0.9900891972249752,999,1009,0.003118501769091193,0.9896499865662507,5.03760732168442e-66,1.0,0.9896499865662507,1.0
33,0.9866284622731614,1033,1047,0.0035497204788805174,0.9896122669237861,5.232932020043846e-68,1.0,0.9896122669237861,1.0
34,0.9874869655891554,947,959,0.0035895309456063654,0.9895334647005367,5.477066770748063e-70,1.0,0.9895334647005367,1.0
35,0.9816612729234089,910,927,0.004406822474442655,0.989409435798811,5.800522726980617e-72,1.0,0.989409435798811,1.0
36,0.9867109634551495,891,903,0.0038106393653445205,0.9892360361209176,6.2436617113015934e-74,1.0,0.9892360361209176,1.0
37,0.9829351535836177,864,879,0.0043683677091951615,0.9890091215691649,6.862332683217582e-76,1.0,0.9890091215691649,1.0
38,0.9911949685534591,788,795,0.0033133051517535875,0.9887245480458622,7.737590246292948e-78,1.0,0.9887245480458622,1.0
39,0.9825970548862115,734,747,0.004784524726760628,0.9883781714533173,8.9924947206901e-80,1.0,0.9883781714533173,1.0
40,0.9853333333333333,739,750,0.004389617379765668,0.9879658476938393,1.0821705108113045e-81,1.0,0.9879658476938393,1.0
41,0.9887798036465638,705,713,0.003944620770817284,0.9874834326697368,1.3545060061394996e-83,1.0,0.9874834326697368,1.0
42,0.9859943977591037,704,714,0.004397835816560268,0.9869267822833181,1.7707751916814956e-85,1.0,0.9869267822833181,1.0
43,0.9910044977511244,661,667,0.003655843566970009,0.9862917524368922,2.427422470617969e-87,1.0,0.9862917524368922,1.0
44,0.9860031104199067,634,643,0.004632862643213174,0.9855741990327671,3.501751342452356e-89,1.0,0.9855741990327671,1.0
45,0.9801526717557252,642,655,0.005449758283853119,0.9847699779732522,5.333175007774318e-91,1.0,0.9847699779732522,1.0
46,0.9825479930191972,563,573,0.005470440068496338,0.9838749451606554,8.599773946818276e-93,1.0,0.9838749451606554,1.0
47,0.9797047970479705,531,542,0.006056820084599305,0.9828849564972857,1.4718550521330396e-94,1.0,0.9828849564972857,1.0
48,0.9766454352441614,460,471,0.006958952910245536,0.9817958678854517,2.679384382249523e-96,1.0,0.9817958678854517,1.0
49,0.9766355140186916,418,428,0.007301674813659785,0.9806035352274618,5.19705847823919e-98,1.0,0.9806035352274618,1.0
50,0.9809523809523809,412,420,0.006669905271019306,0.9793038144256248,1.075592867065185e-99,1.0,0.9793038144256248,1.0
51,0.9903147699757869,409,413,0.004819107033413379,0.9778925613822489,2.3778603286334504e-101,1.0,0.9778925613822489,1.0
52,0.9805013927576601,352,359,0.007297576878329006,0.9763656319996434,5.619922606037176e-103,1.0,0.9763656319996434,1.0
53,0.9911764705882353,337,340,0.00507174257687933,0.9747188821801163,1.420779255418539e-104,1.0,0.9747188821801163,1.0
54,0.976878612716763,338,346,0.00807958762707065,0.9729481678259768,3.8434681973915934e-106,1.0,0.9729481678259768,1.0
55,0.976271186440678,288,295,0.008861601983646786,0.9710493448395326,1.1127092240290709e-107,1.0,0.9710493448395326,1.0
56,0.9810126582278481,310,316,0.007677606477087985,0.9690182691230932,3.4473657723120483e-109,1.0,0.9690182691230932,1.0
57,0.9798657718120806,292,298,0.00813659416306872,0.9668507965789667,1.1427742925307978e-110,1.0,0.9668507965789667,1.0
58,0.9779735682819384,222,227,0.009741429764129936,0.964542783109462,4.051959594719567e-112,1.0,0.964542783109462,1.0
59,0.9144144144144144,203,222,0.01877566629203131,0.9620900846168874,1.5360944537161006e-113,1.0,0.9620900846168874,1.0
60,0.9552238805970149,192,201,0.014587396341051374,0.9594885570035517,6.222940289888015e-115,1.0,0.9594885570035517,1.0
