DATE,TIME PERIOD,Bank interest rates - loans to households for consumption (new business)  (MIR.M.FR.B.A2B.A.R.A.2250.EUR.N)
2000-01-31,2000Jan,7.6000
2000-02-29,2000Feb,7.5900
2000-03-31,2000Mar,7.6300
2000-04-30,2000Apr,7.7000
2000-05-31,2000May,7.7100
2000-06-30,2000Jun,7.7500
2000-07-31,2000Jul,7.7700
2000-08-31,2000Aug,7.8000
2000-09-30,2000Sep,7.8600
2000-10-31,2000Oct,7.8400
2000-11-30,2000Nov,7.9800
2000-12-31,2000Dec,8.0800
2001-01-31,2001Jan,8.0600
2001-02-28,2001Feb,8.0700
2001-03-31,2001Mar,8.0600
2001-04-30,2001Apr,7.8700
2001-05-31,2001May,8.0000
2001-06-30,2001Jun,7.9300
2001-07-31,2001Jul,7.7700
2001-08-31,2001Aug,7.8400
2001-09-30,2001Sep,7.7000
2001-10-31,2001Oct,7.4500
2001-11-30,2001Nov,7.5100
2001-12-31,2001Dec,7.5600
2002-01-31,2002Jan,7.4900
2002-02-28,2002Feb,7.4900
2002-03-31,2002Mar,7.4800
2002-04-30,2002Apr,7.4500
2002-05-31,2002May,7.4200
2002-06-30,2002Jun,7.4900
2002-07-31,2002Jul,7.4200
2002-08-31,2002Aug,7.2500
2002-09-30,2002Sep,7.2600
2002-10-31,2002Oct,7.0900
2002-11-30,2002Nov,7.0700
2002-12-31,2002Dec,7.1900
2003-01-31,2003Jan,6.9900
2003-02-28,2003Feb,7.0200
2003-03-31,2003Mar,7.2400
2003-04-30,2003Apr,7.0700
2003-05-31,2003May,6.8600
2003-06-30,2003Jun,6.7600
2003-07-31,2003Jul,6.7400
2003-08-31,2003Aug,6.8100
2003-09-30,2003Sep,6.5400
2003-10-31,2003Oct,6.6600
2003-11-30,2003Nov,6.6000
2003-12-31,2003Dec,6.4700
2004-01-31,2004Jan,6.8700
2004-02-29,2004Feb,6.6900
2004-03-31,2004Mar,6.8200
2004-04-30,2004Apr,6.5700
2004-05-31,2004May,6.4700
2004-06-30,2004Jun,6.5500
2004-07-31,2004Jul,6.5800
2004-08-31,2004Aug,6.7200
2004-09-30,2004Sep,6.3700
2004-10-31,2004Oct,6.2400
2004-11-30,2004Nov,6.3800
2004-12-31,2004Dec,6.3600
2005-01-31,2005Jan,6.3900
2005-02-28,2005Feb,6.4500
2005-03-31,2005Mar,6.1900
2005-04-30,2005Apr,6.2200
2005-05-31,2005May,6.0500
2005-06-30,2005Jun,6.1100
2005-07-31,2005Jul,6.0600
2005-08-31,2005Aug,6.1000
2005-09-30,2005Sep,5.7500
2005-10-31,2005Oct,5.8600
2005-11-30,2005Nov,6.0100
2005-12-31,2005Dec,6.0800
2006-01-31,2006Jan,6.2300
2006-02-28,2006Feb,5.7900
2006-03-31,2006Mar,5.7700
2006-04-30,2006Apr,5.9500
2006-05-31,2006May,5.9600
2006-06-30,2006Jun,6.0400
2006-07-31,2006Jul,6.0800
2006-08-31,2006Aug,6.2000
2006-09-30,2006Sep,6.2100
2006-10-31,2006Oct,6.1100
2006-11-30,2006Nov,6.3200
2006-12-31,2006Dec,6.5300
2007-01-31,2007Jan,6.5200
2007-02-28,2007Feb,6.5900
2007-03-31,2007Mar,6.5600
2007-04-30,2007Apr,6.5800
2007-05-31,2007May,6.6100
2007-06-30,2007Jun,6.6200
2007-07-31,2007Jul,6.7300
2007-08-31,2007Aug,6.8600
2007-09-30,2007Sep,6.9600
2007-10-31,2007Oct,7.0100
2007-11-30,2007Nov,7.0700
2007-12-31,2007Dec,7.1200
2008-01-31,2008Jan,7.1800
2008-02-29,2008Feb,7.2500
2008-03-31,2008Mar,7.1900
2008-04-30,2008Apr,7.1400
2008-05-31,2008May,7.0800
2008-06-30,2008Jun,7.1100
2008-07-31,2008Jul,7.3000
2008-08-31,2008Aug,7.5500
2008-09-30,2008Sep,7.4600
2008-10-31,2008Oct,7.4700
2008-11-30,2008Nov,7.5000
2008-12-31,2008Dec,7.5100
2009-01-31,2009Jan,7.4600
2009-02-28,2009Feb,7.2500
2009-03-31,2009Mar,7.0600
2009-04-30,2009Apr,6.9400
2009-05-31,2009May,6.9200
2009-06-30,2009Jun,6.6600
2009-07-31,2009Jul,6.7700
2009-08-31,2009Aug,6.7800
2009-09-30,2009Sep,6.5700
2009-10-31,2009Oct,6.4600
2009-11-30,2009Nov,6.4400
2009-12-31,2009Dec,6.3400
2010-01-31,2010Jan,6.5200
2010-02-28,2010Feb,6.3100
2010-03-31,2010Mar,6.2600
2010-04-30,2010Apr,6.1800
2010-05-31,2010May,6.2000
2010-06-30,2010Jun,6.1800
2010-07-31,2010Jul,6.1500
2010-08-31,2010Aug,6.0800
2010-09-30,2010Sep,5.9600
2010-10-31,2010Oct,5.7800
2010-11-30,2010Nov,5.7900
